Season,TeamID,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,Opp_Score,Opp_FGM,Opp_FGA,Opp_FGM3,Opp_FGA3,Opp_FTM,Opp_FTA,Opp_OR,Opp_DR,Opp_Ast,Opp_TO,Opp_Stl,Opp_Blk,Opp_PF,Poss,OppPoss,Games,Wins,Avg_Off_Eff,Avg_Def_Eff,Net_Rating,EFG_Pct,TO_Rate,OR_Pct,Win_Pct,Overall_Win_Pct,Avg_Score,Avg_FGM,Avg_FGA,Avg_FGM3,Avg_FGA3,Avg_FTM,Avg_FTA,Avg_OR,Avg_DR,Avg_Ast,Avg_TO,Avg_Stl,Avg_Blk,Avg_PF,Avg_Opp_Score,Avg_Opp_FGM,Avg_Opp_FGA,Avg_Opp_FGM3,Avg_Opp_FGA3,Avg_Opp_FTM,Avg_Opp_FTA,Avg_Opp_OR,Avg_Opp_DR,Avg_Opp_Ast,Avg_Opp_TO,Avg_Opp_Stl,Avg_Opp_Blk,Avg_Opp_PF,Home_Win_Pct,Away_Win_Pct,Last_14_Days_Win_Pct,End_Season_Elo,seed
1979,1610612747,657.0,270.0,552.0,0.0,4.0,117.0,144.0,103.0,205.0,160.0,120.0,55.0,37.0,147.0,625.0,258.0,530.0,1.0,16.0,108.0,144.0,57.0,166.0,186.0,91.0,56.0,60.0,135.0,637.4,632.4,6,4,103.07499215563224,98.82985452245414,4.245137633178103,0.4891304347826087,0.1882648258550361,0.3828996282527881,0.6666666666666666,0.6666666666666666,109.5,45.0,92.0,0.0,0.6666666666666666,19.5,24.0,17.166666666666668,34.166666666666664,26.666666666666668,20.0,9.166666666666666,6.166666666666667,24.5,104.16666666666667,43.0,88.33333333333333,0.16666666666666666,2.6666666666666665,18.0,24.0,9.5,27.666666666666668,31.0,15.166666666666666,9.333333333333334,10.0,22.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1519.2144939920856,2
1979,1610612755,625.0,258.0,530.0,1.0,16.0,108.0,144.0,57.0,166.0,186.0,91.0,56.0,60.0,135.0,657.0,270.0,552.0,0.0,4.0,117.0,144.0,103.0,205.0,160.0,120.0,55.0,37.0,147.0,632.4,637.4,6,2,98.82985452245414,103.07499215563224,-4.245137633178103,0.4877358490566038,0.14389626818469323,0.21755725190839695,0.3333333333333333,0.3333333333333333,104.16666666666667,43.0,88.33333333333333,0.16666666666666666,2.6666666666666665,18.0,24.0,9.5,27.666666666666668,31.0,15.166666666666666,9.333333333333334,10.0,22.5,109.5,45.0,92.0,0.0,0.6666666666666666,19.5,24.0,17.166666666666668,34.166666666666664,26.666666666666668,20.0,9.166666666666666,6.166666666666667,24.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1480.7855060079144,3
1979,1610616833,288.0,116.0,248.0,2.0,4.0,54.0,88.0,62.0,62.0,68.0,60.0,40.0,18.0,60.0,272.0,106.0,228.0,0.0,8.0,60.0,74.0,48.0,62.0,68.0,58.0,34.0,32.0,64.0,287.8,273.15,2,2,100.06949270326615,99.57898590518032,0.490506798085832,0.4717741935483871,0.20847810979847115,0.5,1.0,1.0,144.0,58.0,124.0,1.0,2.0,27.0,44.0,31.0,31.0,34.0,30.0,20.0,9.0,30.0,136.0,53.0,114.0,0.0,4.0,30.0,37.0,24.0,31.0,34.0,29.0,17.0,16.0,32.0,1.0,,1.0,1514.0201233890314,1
1979,1610616834,272.0,106.0,228.0,0.0,8.0,60.0,74.0,48.0,62.0,68.0,58.0,34.0,32.0,64.0,288.0,116.0,248.0,2.0,4.0,54.0,88.0,62.0,62.0,68.0,60.0,40.0,18.0,60.0,273.15,287.8,2,0,99.57898590518032,100.06949270326615,-0.490506798085832,0.4649122807017544,0.21233754347428155,0.43636363636363634,0.0,0.0,136.0,53.0,114.0,0.0,4.0,30.0,37.0,24.0,31.0,34.0,29.0,17.0,16.0,32.0,144.0,58.0,124.0,1.0,2.0,27.0,44.0,31.0,31.0,34.0,30.0,20.0,9.0,30.0,,0.0,0.0,1485.9798766109686,4
1980,1610612738,579.0,241.0,512.0,3.0,17.0,94.0,129.0,100.0,184.0,137.0,101.0,40.0,33.0,139.0,520.0,203.0,536.0,3.0,11.0,111.0,155.0,112.0,144.0,108.0,79.0,47.0,33.0,121.0,574.275,576.625,6,4,100.82277654433851,90.17992629525254,10.642850249085967,0.4736328125,0.17587392799616908,0.4098360655737705,0.6666666666666666,0.6666666666666666,96.5,40.166666666666664,85.33333333333333,0.5,2.8333333333333335,15.666666666666666,21.5,16.666666666666668,30.666666666666668,22.833333333333332,16.833333333333332,6.666666666666667,5.5,23.166666666666668,86.66666666666667,33.833333333333336,89.33333333333333,0.5,1.8333333333333333,18.5,25.833333333333332,18.666666666666668,24.0,18.0,13.166666666666666,7.833333333333333,5.5,20.166666666666668,0.6666666666666666,0.6666666666666666,0.6666666666666666,1519.2144939920856,2
1980,1610612745,520.0,203.0,536.0,3.0,11.0,111.0,155.0,112.0,144.0,108.0,79.0,47.0,33.0,121.0,579.0,241.0,512.0,3.0,17.0,94.0,129.0,100.0,184.0,137.0,101.0,40.0,33.0,139.0,576.625,574.275,6,2,90.17992629525254,100.82277654433851,-10.642850249085967,0.38152985074626866,0.1370041187947106,0.3783783783783784,0.3333333333333333,0.3333333333333333,86.66666666666667,33.833333333333336,89.33333333333333,0.5,1.8333333333333333,18.5,25.833333333333332,18.666666666666668,24.0,18.0,13.166666666666666,7.833333333333333,5.5,20.166666666666668,96.5,40.166666666666664,85.33333333333333,0.5,2.8333333333333335,15.666666666666666,21.5,16.666666666666668,30.666666666666668,22.833333333333332,16.833333333333332,6.666666666666667,5.5,23.166666666666668,0.3333333333333333,0.3333333333333333,0.3333333333333333,1480.7855060079144,3
1980,1610616833,123.0,49.0,103.0,0.0,1.0,25.0,32.0,20.0,28.0,30.0,17.0,15.0,5.0,23.0,120.0,46.0,90.0,0.0,1.0,28.0,33.0,17.0,34.0,22.0,22.0,10.0,7.0,28.0,115.2,110.675,1,1,106.77083333333333,108.42557036367744,-1.6547370303441085,0.47572815533980584,0.14756944444444445,0.37037037037037035,1.0,1.0,123.0,49.0,103.0,0.0,1.0,25.0,32.0,20.0,28.0,30.0,17.0,15.0,5.0,23.0,120.0,46.0,90.0,0.0,1.0,28.0,33.0,17.0,34.0,22.0,22.0,10.0,7.0,28.0,1.0,,1.0,1517.165952735951,1
1980,1610616834,120.0,46.0,90.0,0.0,1.0,28.0,33.0,17.0,34.0,22.0,22.0,10.0,7.0,28.0,123.0,49.0,103.0,0.0,1.0,25.0,32.0,20.0,28.0,30.0,17.0,15.0,5.0,23.0,110.675,115.2,1,0,108.42557036367744,106.77083333333333,1.6547370303441085,0.5111111111111111,0.19878021233340865,0.37777777777777777,0.0,0.0,120.0,46.0,90.0,0.0,1.0,28.0,33.0,17.0,34.0,22.0,22.0,10.0,7.0,28.0,123.0,49.0,103.0,0.0,1.0,25.0,32.0,20.0,28.0,30.0,17.0,15.0,5.0,23.0,,0.0,0.0,1482.834047264049,4
1981,1610612741,300.0,111.0,244.0,3.0,10.0,75.0,89.0,53.0,77.0,64.0,63.0,19.0,12.0,74.0,320.0,135.0,265.0,3.0,14.0,47.0,70.0,49.0,74.0,73.0,52.0,39.0,18.0,87.0,296.275,301.25,3,2,101.25727786684668,106.2240663900415,-4.966788523194822,0.4610655737704918,0.21264028352037803,0.41732283464566927,0.6666666666666666,0.6666666666666666,100.0,37.0,81.33333333333333,1.0,3.3333333333333335,25.0,29.666666666666668,17.666666666666668,25.666666666666668,21.333333333333332,21.0,6.333333333333333,4.0,24.666666666666668,106.66666666666667,45.0,88.33333333333333,1.0,4.666666666666667,15.666666666666666,23.333333333333332,16.333333333333332,24.666666666666668,24.333333333333332,17.333333333333332,13.0,6.0,29.0,0.0,1.0,1.0,1513.2319531012504,5
1981,1610612742,92.0,32.0,69.0,1.0,3.0,27.0,40.0,8.0,19.0,21.0,21.0,5.0,1.0,27.0,117.0,48.0,87.0,1.0,3.0,20.0,27.0,16.0,30.0,33.0,17.0,9.0,9.0,34.0,101.0,100.825,1,0,91.0891089108911,116.0426481527399,-24.9535392418488,0.47101449275362317,0.2079207920792079,0.21052631578947367,0.0,0.0,92.0,32.0,69.0,1.0,3.0,27.0,40.0,8.0,19.0,21.0,21.0,5.0,1.0,27.0,117.0,48.0,87.0,1.0,3.0,20.0,27.0,16.0,30.0,33.0,17.0,9.0,9.0,34.0,,0.0,0.0,1492.8012999960577,9
